Half Light Radius (pc),Sigma Line of Sight (km/s),Dynamical Mass,log10(Stellar Mass),Mdyn / L,Stellar Mass
3.31719481,2.3,3.610657207,4.881429996,0.107215409,76107.94506
3.092927252,nan,nan,4.874629996,nan,74925.55973
nan,nan,nan,4.873029996,nan,74650.03162
1.661733257,nan,nan,4.871429996,nan,74375.51672
10.88761788,nan,nan,4.868629996,nan,73897.54251
nan,nan,nan,4.861029996,nan,72615.61101
5.181130944,nan,nan,4.857429996,nan,72016.16589
2.3973206,nan,nan,4.853029996,nan,71290.22674
1.539855534,nan,nan,4.853029996,nan,71290.22674
15.13519154,nan,nan,4.840629996,nan,69283.52826
4.640849719,nan,nan,4.838629996,nan,68965.19936
14.6513407,nan,nan,4.833029996,nan,68081.63799
2.588112821,nan,nan,4.830229996,nan,67644.11139
1.263321667,nan,nan,4.813029996,nan,65017.45953
14.93305959,1.4,3.832835427,4.813029996,0.2093319055,65017.45953
2.460083639,nan,nan,4.804629996,nan,63771.99392
3.698713697,nan,nan,4.803429996,nan,63596.0286
17.69547423,nan,nan,4.801029996,nan,63245.55325
11.75846206,nan,nan,4.797829996,nan,62781.25543
nan,nan,nan,4.793029996,nan,62091.19181
nan,nan,nan,4.777029996,nan,59845.29278
nan,nan,nan,4.769029996,nan,58752.99308
3.225196003,nan,nan,4.768629996,nan,58698.90449
2.401073216,nan,nan,4.765829996,nan,58321.67602
12.39745072,nan,nan,4.765029996,nan,58214.34241
22.27645603,nan,nan,4.755029996,nan,56889.22219
4.24233738,nan,nan,4.753029996,nan,56627.83996
1.381586652,nan,nan,4.752629996,nan,56575.7078
1.731223778,nan,nan,4.751029996,nan,56367.65867
16.73467504,nan,nan,4.737029996,nan,54579.5557
1.458820934,nan,nan,4.729029996,nan,53583.36654
2.318028666,nan,nan,4.713029996,nan,51645.20385
nan,nan,nan,4.713029996,nan,51645.20385
2.300235069,nan,nan,4.713029996,nan,51645.20385
2.647566261,nan,nan,4.696229996,nan,49685.53791
7.59095929,nan,nan,4.693429996,nan,49366.23383
3.455535956,nan,nan,4.692229996,nan,49230.01816
nan,nan,nan,4.691429996,nan,49139.41659
8.314204835,nan,nan,4.689029996,nan,48868.61109
6.224237104,nan,nan,4.681029996,nan,47976.65842
2.53410132,nan,nan,4.677029996,nan,47536.80577
14.87286284,nan,nan,4.675429996,nan,47361.99591
1.7734058,nan,nan,4.675429996,nan,47361.99591
nan,6.8,nan,4.669029996,nan,46669.16128
2.626076439,nan,nan,4.665829996,nan,46326.55396
1.491784503,nan,nan,4.664629996,nan,46198.72564
4.692546366,nan,nan,4.663829996,nan,46113.70277
3.993195072,nan,nan,4.661029996,nan,45817.35309
nan,nan,nan,4.657029996,nan,45397.29707
1.478546644,nan,nan,4.656229996,nan,45313.74914
3.786325245,nan,nan,4.643029996,nan,43957.19749
7.312500107,nan,nan,4.637029996,nan,43354.08213
nan,nan,nan,4.633029996,nan,42956.60952
nan,nan,nan,4.617029996,nan,41402.82701
14.2028349,nan,nan,4.613429996,nan,41061.04482
5.16547061,nan,nan,4.601029996,nan,39905.24633
nan,nan,nan,4.593029996,nan,39176.8935
nan,nan,nan,4.593029996,nan,39176.8935
9.423994629,nan,nan,4.590229996,nan,38925.12322
7.591190583,1.2,3.405102944,4.587429996,0.1314325529,38674.97094
1.49676154,nan,nan,4.581029996,nan,38109.21439
15.9264828,nan,nan,4.577029996,nan,37759.82701
nan,nan,nan,4.573029996,nan,37413.64284
nan,nan,nan,4.513029996,nan,32585.92068
5.242652331,nan,nan,4.509029996,nan,32287.17116
1.928104564,nan,nan,4.501029996,nan,31697.86387
4.549837498,nan,nan,4.497029996,nan,31407.25611
nan,nan,nan,4.493029996,nan,31119.31266
nan,nan,nan,4.473029996,nan,29718.71287
20.01016711,nan,nan,4.461829996,nan,28962.09648
12.71130132,nan,nan,4.435029996,nan,27228.89367
16.99988956,nan,nan,4.426229996,nan,26682.71368
2.572664799,nan,nan,4.409029996,nan,25646.61167
20.13951359,nan,nan,4.407029996,nan,25528.7762
13.54842485,nan,nan,4.400629996,nan,25155.32867
1.987122169,nan,nan,4.377029996,nan,23824.84018
9.105388103,nan,nan,4.369029996,nan,23389.98784
3.643910687,nan,nan,4.357029996,nan,22752.54573
nan,nan,nan,4.353029996,nan,22543.94914
27.61314208,0.38,2.967113578,4.350629996,0.08270153637,22419.71027
6.355776643,nan,nan,4.347429996,nan,22255.12285
10.71364764,0.4,2.600487899,4.337029996,0.03668494723,21728.51249
1.221388906,nan,nan,4.305029996,nan,20185.05774
0.09841092692,nan,nan,4.297029996,nan,19816.63891
4.098283399,nan,nan,4.294229996,nan,19689.28729
nan,nan,nan,4.285029996,nan,19276.58049
6.118111341,nan,nan,4.278629996,nan,18994.59316
nan,nan,nan,4.237029996,nan,17259.57097
2.701960358,nan,nan,4.220229996,nan,16604.66033
8.445774347,0.94,3.239325738,4.213029996,0.2124837575,16331.64744
20.48477271,1.3,3.905748412,4.207429996,0.9985007874,16122.41129
7.005255142,nan,nan,4.179029996,nan,15101.84456
2.55946266,nan,nan,4.161029996,nan,14488.71921
nan,nan,nan,4.161029996,nan,14488.71921
3.695917153,2.5,3.730032802,4.147029996,0.7656544336,14029.10598
8.918876584,5.6,4.813116766,4.126229996,9.725608106,13373.03545
1.887854966,nan,nan,4.081029996,nan,12051.19173
1.874076784,nan,nan,4.077029996,nan,11940.70574
7.046888711,nan,nan,3.995029996,nan,9886.213747
21.86382372,nan,nan,3.985029996,nan,9661.176048
4.290221532,nan,nan,3.973029996,nan,9397.882179
3.986287581,nan,nan,3.953029996,nan,8974.907806
1.775192154,nan,nan,3.917029996,nan,8260.950046
9.432612258,nan,nan,3.908229996,nan,8095.24498
5.945317311,1.9,3.698112798,3.841029996,1.439172321,6934.737014
2.4718605,nan,nan,3.834229996,nan,6827.001464
2.935013218,6.1,4.404700289,3.745829996,9.118014713,5569.67682
1.193898357,nan,nan,3.689029996,nan,4886.861109
4.399743374,nan,nan,3.657829996,nan,4548.099905
nan,nan,nan,3.593029996,nan,3917.68935
1.011907739,nan,nan,3.553829996,nan,3579.562882
11.74504173,0.6,2.992587622,3.490229996,0.6358982381,3091.932441
14.0029539,2.3,4.236105889,3.389029996,14.06390385,2449.2324
2.015198386,nan,nan,3.245429996,nan,1759.665
5.90401976,nan,nan,3.233029996,nan,1710.133427
2.626555877,nan,nan,3.033029996,nan,1079.021246
6.498555651,nan,nan,2.898229996,nan,791.0974707
1.684389744,nan,nan,1.733029996,nan,54.07916732
nan,nan,nan,,nan,1
