Half Light Radius (pc),Sigma Line of Sight (km/s),Dynamical Mass,log10(Stellar Mass),Mdyn / L,Stellar Mass
234.7096392,nan,nan,4.865029996,nan,73287.51499
nan,nan,nan,4.981029996,nan,95726.01854
82.17810321,nan,nan,4.993029996,nan,98407.90721
nan,nan,nan,5.029029996,nan,106912.872
93.06877179,nan,nan,5.113029996,nan,129726.8868
436.3356723,nan,nan,5.281029996,nan,190998.5174
44.27093595,nan,nan,5.301029996,nan,200000.0002
2205.239684,nan,nan,5.433029996,nan,271037.8827
392.2184165,nan,nan,5.941029996,nan,873031.6652
223.3008728,nan,nan,6.033029996,nan,1079021.246
155.0954708,nan,nan,6.165029996,nan,1462278.168
164.2665235,nan,nan,6.217029996,nan,1648276.231
505.5151437,nan,nan,6.233029996,nan,1710133.427
356.4371713,nan,nan,6.393029996,nan,2471894.869
171.8747638,nan,nan,6.441029996,nan,2760768.531
771.4914227,nan,nan,6.477029996,nan,2999369.673
612.5095082,nan,nan,6.505029996,nan,3199116.06
197.0814198,nan,nan,6.729029996,nan,5358336.654
954.8215168,nan,nan,6.753029996,nan,5662783.996
222.006861,nan,nan,6.841029996,nan,6934737.014
360.8544763,nan,nan,6.957029996,nan,9057951.605
495.1441255,nan,nan,7.113029996,nan,12972688.68
322.8358206,nan,nan,7.173029996,nan,14894639.49
210.2169327,nan,nan,7.197029996,nan,15740915.81
181.3097208,nan,nan,7.229029996,nan,16944548.3
1101.305137,nan,nan,7.341029996,nan,21929563.94
403.6340844,nan,nan,7.393029996,nan,24718948.69
668.510799,nan,nan,7.497029996,nan,31407256.11
572.2658116,nan,nan,7.501029996,nan,31697863.87
548.3904478,nan,nan,7.521029996,nan,33191738.17
233.9681561,nan,nan,7.577029996,nan,37759827.01
1283.560591,nan,nan,7.773029996,nan,59296627.84
312.9591481,nan,nan,7.865029996,nan,73287514.99
905.6535976,nan,nan,7.915029996,nan,82229944.28
919.4810716,nan,nan,7.949029996,nan,88926253.56
600.0472674,nan,nan,7.977029996,nan,94848397.13
356.8260298,nan,nan,8.001029996,nan,100237446.8
493.2048583,nan,nan,8.005029996,nan,101164932.5
689.9709808,nan,nan,8.181029996,nan,151715515.1
533.5983778,nan,nan,8.205029996,nan,160335612.8
291.4934394,nan,nan,8.569029996,nan,370706325
433.2052351,nan,nan,8.577029996,nan,377598270.1
nan,nan,nan,9.293029996,nan,1963495888
nan,nan,nan,9.521029996,nan,3319173817
1247.155431,nan,nan,9.629029996,nan,4256278095
1195.63957,nan,nan,9.645029996,nan,4416009469
